sl_no,state_name,total_predicted_risk,ASF,BT,CSF,FMD,LSD,PPR,Sheep_Goat_Pox,Babesiosis,Fasciolosis,Theileriosis,Trypanosomosis,Anthrax,BQ,ET,HS,bulletin_month,prediction_target_month,source_organization,data_license
1,Andaman & Nicobar,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,September 2026,November 2026,"ICAR-NIVEDI, Bengaluru",Official ICAR Publication (Attribution Required)
2,Daman & Diu,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,September 2026,November 2026,"ICAR-NIVEDI, Bengaluru",Official ICAR Publication (Attribution Required)
3,Delhi,25,0,0,0,0,0,7,4,0,0,0,9,0,3,2,0,September 2026,November 2026,"ICAR-NIVEDI, Bengaluru",Official ICAR Publication (Attribution Required)
4,Jammu & Kashmir,53,0,19,0,1,7,1,18,0,0,0,0,6,0,1,0,September 2026,November 2026,"ICAR-NIVEDI, Bengaluru",Official ICAR Publication (Attribution Required)
5,Puducherry,13,0,0,0,3,1,1,2,2,0,2,1,0,0,0,1,September 2026,November 2026,"ICAR-NIVEDI, Bengaluru",Official ICAR Publication (Attribution Required)
1,Andhra Pradesh,27,0,2,1,3,2,1,5,0,0,0,0,6,3,2,2,September 2026,November 2026,"ICAR-NIVEDI, Bengaluru",Official ICAR Publication (Attribution Required)
2,Arunachal Pradesh,21,2,6,0,0,1,1,4,0,0,0,0,0,2,5,0,September 2026,November 2026,"ICAR-NIVEDI, Bengaluru",Official ICAR Publication (Attribution Required)
3,Assam,120,6,9,8,5,5,18,8,20,3,1,0,1,16,19,1,September 2026,November 2026,"ICAR-NIVEDI, Bengaluru",Official ICAR Publication (Attribution Required)
4,Bihar,40,0,0,0,4,0,0,20,3,1,4,3,0,5,0,0,September 2026,November 2026,"ICAR-NIVEDI, Bengaluru",Official ICAR Publication (Attribution Required)
5,Chhattisgarh,7,0,0,0,0,0,2,2,1,0,1,1,0,0,0,0,September 2026,November 2026,"ICAR-NIVEDI, Bengaluru",Official ICAR Publication (Attribution Required)
6,Goa,10,1,2,0,2,0,0,0,1,0,2,1,0,0,0,1,September 2026,November 2026,"ICAR-NIVEDI, Bengaluru",Official ICAR Publication (Attribution Required)
7,Gujarat,30,0,1,0,1,0,4,19,0,0,0,1,0,1,2,1,September 2026,November 2026,"ICAR-NIVEDI, Bengaluru",Official ICAR Publication (Attribution Required)
8,Haryana,23,0,2,4,1,0,5,1,0,0,3,7,0,0,0,0,September 2026,November 2026,"ICAR-NIVEDI, Bengaluru",Official ICAR Publication (Attribution Required)
9,Himachal Pradesh,16,0,1,0,0,0,2,5,0,1,0,0,0,5,2,0,September 2026,November 2026,"ICAR-NIVEDI, Bengaluru",Official ICAR Publication (Attribution Required)
10,Jharkhand,234,0,0,10,22,22,18,18,24,23,24,24,5,7,16,21,September 2026,November 2026,"ICAR-NIVEDI, Bengaluru",Official ICAR Publication (Attribution Required)
11,Karnataka,69,1,19,0,24,6,1,3,1,0,1,0,6,2,3,2,September 2026,November 2026,"ICAR-NIVEDI, Bengaluru",Official ICAR Publication (Attribution Required)
12,Kerala,68,4,0,1,9,7,5,1,12,1,14,4,1,0,5,4,September 2026,November 2026,"ICAR-NIVEDI, Bengaluru",Official ICAR Publication (Attribution Required)
13,Madhya Pradesh,54,3,0,0,1,0,2,34,0,0,1,6,0,2,5,0,September 2026,November 2026,"ICAR-NIVEDI, Bengaluru",Official ICAR Publication (Attribution Required)
14,Maharashtra,29,3,4,0,4,1,2,6,0,0,4,1,0,1,0,3,September 2026,November 2026,"ICAR-NIVEDI, Bengaluru",Official ICAR Publication (Attribution Required)
15,Manipur,34,5,0,7,4,0,4,2,0,2,0,0,0,1,7,2,September 2026,November 2026,"ICAR-NIVEDI, Bengaluru",Official ICAR Publication (Attribution Required)
16,Meghalaya,11,0,2,0,2,0,0,7,0,0,0,0,0,0,0,0,September 2026,November 2026,"ICAR-NIVEDI, Bengaluru",Official ICAR Publication (Attribution Required)
17,Mizoram,9,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,September 2026,November 2026,"ICAR-NIVEDI, Bengaluru",Official ICAR Publication (Attribution Required)
18,Nagaland,5,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,September 2026,November 2026,"ICAR-NIVEDI, Bengaluru",Official ICAR Publication (Attribution Required)
19,Odisha,28,0,2,0,9,2,0,3,1,0,3,1,1,0,4,2,September 2026,November 2026,"ICAR-NIVEDI, Bengaluru",Official ICAR Publication (Attribution Required)
20,Punjab,15,0,0,0,0,0,0,0,0,0,3,10,0,1,1,0,September 2026,November 2026,"ICAR-NIVEDI, Bengaluru",Official ICAR Publication (Attribution Required)
21,Rajasthan,35,0,0,0,0,1,7,12,0,0,2,7,2,2,2,0,September 2026,November 2026,"ICAR-NIVEDI, Bengaluru",Official ICAR Publication (Attribution Required)
22,Sikkim,17,2,1,2,1,4,0,1,4,0,1,0,0,1,0,0,September 2026,November 2026,"ICAR-NIVEDI, Bengaluru",Official ICAR Publication (Attribution Required)
23,Tamil Nadu,55,1,2,0,13,7,1,26,0,0,0,0,4,0,1,0,September 2026,November 2026,"ICAR-NIVEDI, Bengaluru",Official ICAR Publication (Attribution Required)
24,Telangana,18,0,6,0,0,0,2,3,0,0,3,1,0,1,2,0,September 2026,November 2026,"ICAR-NIVEDI, Bengaluru",Official ICAR Publication (Attribution Required)
